"fips" "longitude" "latitude"
"3025" 17083 -90.3348007202148 39.0898971557617
"3081" 17085 -90.2120666503906 42.3647346496582
"3137" 17087 -88.8777847290039 37.4580230712891
"3193" 17089 -88.4267807006836 41.9387092590332
"3249" 17091 -87.8641357421875 41.1381492614746
"3305" 17093 -88.4285430908203 41.5908355712891
"3361" 17095 -90.2133407592773 40.931510925293
"3417" 17097 -88.0040740966797 42.3230133056641
"3473" 17099 -88.8923797607422 41.3345375061035
"3529" 17101 -87.7242202758789 38.7199287414551
"3585" 17103 -89.299446105957 41.7461051940918
"3641" 17105 -88.5578308105469 40.8914947509766
"3697" 17107 -89.3725967407227 40.1306762695312
"3753" 17109 -90.6778564453125 40.4567718505859
"3809" 17111 -88.4529800415039 42.3241806030273
"3865" 17113 -88.8426208496094 40.4892463684082
"3921" 17115 -88.9663467407227 39.8611526489258
"3977" 17117 -89.9242401123047 39.2612075805664
"4033" 17119 -89.9030838012695 38.8308715820312
"4089" 17121 -88.9189529418945 38.6492195129395
"4145" 17123 -89.3777923583984 41.0278396606445
"4201" 17125 -89.9259872436523 40.2394828796387
"4257" 17127 -88.7027893066406 37.2121047973633
"4313" 17129 -89.8023223876953 40.0308494567871
"4369" 17131 -90.7430267333984 41.2061576843262
"4425" 17133 -90.1805801391602 38.2822532653809
"4481" 17135 -89.4650573730469 39.222972869873
"4537" 17137 -90.1958312988281 39.715892791748
"4593" 17139 -88.6192016601562 39.6368255615234
"4649" 17141 -89.3224411010742 42.0421676635742
"4705" 17143 -89.7646713256836 40.7860374450684
"4761" 17145 -89.3711166381836 38.0861854553223
"4817" 17147 -88.590202331543 40.0106506347656
"4873" 17149 -90.8788604736328 39.6237411499023
"4929" 17151 -88.5615615844727 37.4133682250977
"4985" 17153 -89.1214141845703 37.2215881347656
"5041" 17155 -89.2923126220703 41.2087097167969
"5097" 17157 -89.8335876464844 38.0413055419922
"5153" 17159 -88.0856170654297 38.7114753723145
"5209" 17161 -90.5728225708008 41.4657325744629
"5265" 17163 -89.9286804199219 38.4720001220703
"5321" 17165 -88.5412292480469 37.7533531188965
"5377" 17167 -89.6615219116211 39.7582702636719
"5433" 17169 -90.5990982055664 40.1663093566895
"5489" 17171 -90.4638595581055 39.6479873657227
"5545" 17173 -88.8066101074219 39.3889541625977
"5601" 17175 -89.8148422241211 41.084285736084
"5657" 17177 -89.6626281738281 42.3514595031738
"5713" 17179 -89.5169677734375 40.5072898864746
"5769" 17181 -89.2522506713867 37.4678955078125
"5825" 17183 -87.7333755493164 40.1849517822266
"5881" 17185 -87.85546875 38.4401626586914
"5937" 17187 -90.6147308349609 40.8492622375488
"5993" 17189 -89.4129333496094 38.3533592224121
"6049" 17191 -88.4274673461914 38.4275817871094
"6105" 17193 -88.1757736206055 38.0807685852051
"6161" 17195 -89.9191360473633 41.756706237793
"6217" 17197 -87.9793395996094 41.4344520568848
"6273" 17199 -88.9299621582031 37.7303276062012
"6329" 17201 -89.1609725952148 42.3365287780762
"6385" 17203 -89.2003707885742 40.7837181091309
"6441" 18001 -84.9367523193359 40.745677947998
"6497" 18003 -85.0640029907227 41.0910530090332
"6553" 18005 -85.8914031982422 39.2088165283203
"6609" 18007 -87.3110427856445 40.6062889099121
"6665" 18009 -85.3280181884766 40.4744453430176
"6721" 18011 -86.4685211181641 40.0516738891602
"6833" 18015 -86.568603515625 40.5842781066895
"6889" 18017 -86.3425140380859 40.7633743286133
"6945" 18019 -85.7048797607422 38.4822845458984
"7001" 18021 -87.1095275878906 39.3988838195801
"7057" 18023 -86.4758224487305 40.3024673461914
"7169" 18027 -87.0721282958984 38.7034606933594
"7225" 18029 -84.9696197509766 39.1476745605469
"7281" 18031 -85.5027770996094 39.3149223327637
"7337" 18033 -84.9989166259766 41.3981132507324
"7393" 18035 -85.3972930908203 40.227897644043
"7449" 18037 -86.8800659179688 38.3652267456055
"7505" 18039 -85.8588562011719 41.597728729248
"7561" 18041 -85.1784133911133 39.6397895812988
"7673" 18045 -87.2401962280273 40.125301361084
"7729" 18047 -85.0642547607422 39.411003112793
"7785" 18049 -86.2379150390625 41.0431861877441
"7841" 18051 -87.5909042358398 38.3102188110352
"7897" 18053 -85.6547698974609 40.5158538818359
"7953" 18055 -86.9623489379883 39.0362968444824
"8009" 18057 -86.0526504516602 40.0729827880859
"8065" 18059 -85.7689743041992 39.8225517272949
"8121" 18061 -86.1065216064453 38.1970252990723
"8177" 18063 -86.5092086791992 39.769962310791
"8233" 18065 -85.3964080810547 39.9316596984863
"8289" 18067 -86.1170501708984 40.4776458740234
"8345" 18069 -85.488166809082 40.8290672302246
"8401" 18071 -86.0462493896484 38.9060821533203
"8457" 18073 -87.1133804321289 41.0149955749512
"8513" 18075 -85.007942199707 40.4379081726074
"8569" 18077 -85.4318542480469 38.776065826416
"8625" 18079 -85.6221084594727 38.9965476989746
"8681" 18081 -86.1014862060547 39.489933013916
"8737" 18083 -87.4147872924805 38.6942100524902
"8793" 18085 -85.8579940795898 41.2509117126465
"8849" 18087 -85.4267120361328 41.6424140930176
